AN;MOIS;PAX_Depart;PAX_Arrivee;PAX_Transit;FRP_Depart;FRP_Arrivee;NMVT_Mixte;NMVT_Cargo
1990;04;8629;8346;110;0,5;0,3;760;0
1990;04;2043;2161;0;0,6;0,5;214;0
1990;04;855;804;27;0;0;134;0
1990;04;65215;63432;1006;389;255,3;1741;75
1990;04;28486;31217;170;22,9;61,7;439;0
1990;04;15698;15600;51;6,5;8,6;268;1
1990;04;922;962;0;3,5;10,6;195;1
1990;04;417;457;691;2;13,8;58;0
1990;04;32571;33642;3618;116,3;529,8;2727;0
1990;04;436;590;0;3,8;3,7;36;0
1990;04;481;449;245;1,8;3,1;60;0
1990;04;5275;4984;266;2,5;9;340;0
1990;04;541;570;0;0;0;127;0
1990;04;1969;2000;760;9;7,2;200;0
1990;04;2048;2007;2246;1,6;3,7;266;0
1990;04;7563;6786;831;0,2;0,1;1731;0
1990;04;585;563;0;0,7;1,7;48;0
1990;04;3214;3166;1169;2,8;10,2;273;0
1990;04;3067;3202;22;2,6;10,8;252;0
1990;04;2910;2904;64;4;23,7;265;0
1990;04;9316;8743;0;57,9;21;924;0
1990;04;1575;1887;31;13,5;12,5;179;0
1990;04;866;988;15;1,9;10,2;112;0
1990;04;10100;10503;1035;145,7;417,2;192;0
1990;04;12294;11221;2665;189,7;405,3;723;52
1990;04;849;723;0;5,5;0,9;214;8
1990;04;49915;48036;9786;987,9;610,8;2455;113
1990;04;932;918;0;3;6,4;399;0
1990;04;6608;6537;210;1,5;7,6;1412;0
1990;04;1439;1485;0;1,2;3,4;216;0
1990;04;56269;54143;20542;1315;688,1;2698;60
1990;04;3913;3882;117;12,1;4,4;1821;37
1990;04;4405;4641;1382;23;23,8;1265;26
1990;05;1157;1160;0;6,4;17,8;96;0
1990;05;32554;34766;1834;275,5;1078,8;839;31
1990;05;1448;1510;6;0;0;206;0
1990;05;1296;1226;3;0;0;173;0
1990;05;111152;114177;9593;474;617,6;2741;123
1990;05;1516;1387;2359;0;0;356;0
1990;05;1970;2041;0;0;0;137;0
1990;05;1331;1406;940;25,7;42,2;253;70
1990;05;6877;6791;381;12,1;8,4;420;0
1990;05;135863;139364;6933;791,2;1505,4;3078;190
1990;05;25119;25238;977;86;92,9;739;35
1990;05;28706;31854;0;0,4;16,5;579;0
1990;05;1624;1586;349;1,1;0,6;316;0
1990;05;747;697;0;0;0;81;0
1990;05;1658;1630;6;0;0,3;224;0
1990;05;23319;23805;40;18,2;26,3;474;0
1990;05;1140;1137;0;0;0;180;0
1990;05;2475;2417;1679;0;0;216;0
1990;05;2217;2620;545;0;0,3;82;2
1990;05;30833;30823;502;93,1;363;686;97
1990;05;9810;11662;676;0;0;368;0
1990;05;4681;7262;10;1;1,6;328;0
1990;05;38075;39213;625;92;384,1;1016;144
1990;05;2514;2673;0;2,5;0;138;2
1990;05;11791;11898;679;209,2;209,6;747;216
1990;05;160761;169882;9110;1304,8;1345,8;5124;611
1990;05;1602;1555;0;1,5;0,1;107;0
1990;05;12380;12588;0;9,9;7,7;434;0
1990;05;1224;1331;0;0;0;93;0
1990;05;523;568;2;0;0;80;0
1990;05;1193;1783;78;187,9;39;49;33
1990;05;506;553;0;0,3;0;449;0
1990;05;4011;3918;2;0,3;1;229;0
1990;05;200009;212714;26509;1655,4;2427,8;4872;499
1990;05;256094;264653;8692;1196,1;1392,2;12250;212
1990;05;20859;21130;12;13,3;47,6;374;0
1990;05;45913;46091;146;303,7;338,8;1001;98
1990;05;2073;2099;0;1;0;136;0
1990;05;5732;5675;3;140,1;168,7;308;120
1990;05;7117;7241;147;3,6;0;146;1
1990;05;1909;2180;874;0;0,4;479;0
1990;05;1411;1347;0;0,1;0,3;355;3
1990;05;1482;1154;132;0,6;0;146;1
1990;05;927509;970161;18468;26240,6;25721,7;19866;897
1990;05;1029584;1068211;5925;11998,3;11593,2;16532;684
1990;05;36124;35484;683;202,8;204,4;1295;203
1990;05;21962;22009;167;106,8;179,2;892;38
1990;05;1352;1375;0;2,6;0,4;382;0
1990;05;2388;2615;0;5,8;2,1;322;0
1990;05;915;981;0;2;19,4;119;0
1990;05;10677;10545;0;3;25,5;208;0
1990;05;1454;1574;379;0;0,9;349;6
1990;05;9507;9421;168;40,9;55,1;742;35
1990;05;1633;1671;3;2,9;0;119;0
1990;05;5636;5180;0;4,8;3,3;160;1
1990;05;52513;53263;3747;115,1;153,7;1731;168
1990;05;1007;1131;1176;0;0;177;0
1990;05;87402;81786;657;538,1;609,9;3779;359
1990;05;1327;1292;2;0;0;600;1
1990;05;8113;7910;317;0,9;0,1;739;0
1990;05;2424;2641;3;0,1;0,2;231;0
1990;05;521;509;4;0,3;0,3;104;2
1990;05;73176;72166;1014;365,1;252,7;2018;72
1990;05;30730;28770;0;25,3;83,3;447;0
1990;05;15812;16152;19;7;10,3;306;0
1990;05;520;500;0;0;0;158;0
1990;05;1126;1217;0;1,5;13,5;283;3
1990;05;531;415;521;3,4;17,7;69;0
1990;05;27596;28067;3306;119,9;509;2463;0
1990;05;4565;4360;217;3,3;9,7;308;0
1990;05;1497;1457;784;9,6;5,1;181;0
1990;05;1828;1749;2290;1,3;4;282;0
1990;05;6745;6292;620;0,1;0;1587;0
1990;05;2719;2674;1002;3,5;11,2;259;0
1990;05;2953;3031;0;2;17,4;224;0
1990;05;3006;3346;15;4;32,1;263;0
1990;05;9175;8863;0;72,8;16,3;832;0
1990;05;1711;1516;47;8,8;11,1;156;0
1990;05;995;937;0;2;10;108;0
1990;05;11217;9414;489;189,4;482,3;202;0
1990;05;9671;9432;2965;150,7;451,1;629;41
1990;05;576;443;0;2,8;0,5;168;6
1990;05;38127;34421;8149;869,6;729,7;1918;106
1990;05;1050;956;0;2;8,2;384;10
1990;05;574;618;0;0;0;164;0
1990;05;1215;1195;0;0,9;4,6;205;0
1990;05;40931;37332;18318;513,1;772,9;2365;43
1990;05;3609;4196;24;8,8;6,9;1733;48
1990;05;5091;5355;1370;34,3;38;1294;24
1990;06;1318;1196;0;7,4;19,2;102;0
1990;06;24255;29001;2110;314,9;1106,9;662;31
1990;06;1843;1911;22;0;0;227;0
1990;06;1569;1575;1;0;65,6;167;36
1990;06;123809;125484;11772;458,1;504;2795;90
1990;06;1669;1727;2612;0;0;373;0
1990;06;2299;2531;0;0;0;147;0
1990;06;1246;1530;927;27,1;40,1;239;63
1990;06;7007;7024;390;11,5;9,9;398;0
1990;06;150166;149615;7419;832,5;1633,6;3143;214
